iteration,phase1_ms,create_ms,create_fee,finish_ms,finish_fee,memo_valid,vc_cid,escrow_hash
81,3615,6937,12,7105,423,true,bafkreihnzb4mgfs6lmni2xfdnw47oxgnbbewoz7xedk4ble4qy4rpfnea4,B0F7F6CF7D92BE2230A9A7B192863978E4FDE32FEEF5A7F6FCCA03598DCC4019
82,3277,6903,12,6904,423,true,bafkreifcynwxr36n6a4tiy4dfo7du7hbfppgmokknl245o5tcdzegrtxvq,E46C7A5D77EB5A3E4AC7A460EEBB38A443F9972A220FA883A51E8CFD122D23FD
83,3794,7206,12,5623,423,true,bafkreic6ajpgzzuady6vydl5jtz2jfkbreynbzblqrnww7hrkisbybecvy,32CAC89955A6DB9BA7A73995DB9E24FF094FE5E25E57AC60330A9F296E549D7E
84,3924,6917,12,5641,423,true,bafkreieb2fbaho636xbcs3z3kmevqj6r6lkf4pb26jktchtdafjux5ecua,A723F59ADAC699FCE77EA49DF4A3EA0DF1CB20A6E25F7622C0A3864EADE84CA1
85,3409,5597,12,8220,423,true,bafkreianq56livhcbbv2upk2bvracfrkph7icum5kb3fcf3tidrozqy3za,C64035950C10BF7407F316A2C14948BBB666CFA8F192E8D11AEDEEAEF1A11B24
86,3953,6895,12,8206,423,true,bafkreierr6cudid45vegaw4diuinyivvz4i74y2j7pobfb742em6otlzpy,F82B02A245FD9D8DCA8D11C6886AD040D0A0ED40CC86707D4E5E16981FF35ADB
87,3171,6888,12,5636,423,true,bafkreifxnwinu4whrdsmw6gol4glkzq2dqpvhjtwafokouae5qrinaaxgm,74AC3F9F9A128301DFA4FC8E178F81E931702DBE43279A0C6007C8765CA51803
88,3158,6906,12,7078,423,true,bafkreic5dorfatmtktx5laum5fubrhk7woc47s42p2tasp7f4fnxc443oi,4DF7AC881A28FD780A4A251583C5FAEFA4237C6C79A8A6E80AA77FB5EBC17F8B
89,3365,8202,12,6908,423,true,bafkreiggowlnmcuzksyazt3hkr3bf2hrdqbnpjvcwzng3t5wneie2f6jou,5FDFC06A9272E4571BB30F169486C75A19CBCB8DC793BCA0F6D84EDB5D508364
90,2861,6913,12,5628,423,true,bafkreicmkc7ymzkfypg2j7vml2ivbbcmzgocfi4td4236gqfx4heph76nu,6E1033E410ABD3B103BFF5B79703B9A85BEB2630A4F9B5C986246809775B0EEC
91,3678,6572,12,5909,423,true,bafkreieuaglrwwokcb3nyiscjvjiz24crqmbmdcwuzdd45vsh5dknlf3nq,3A2E1E31D3516070E8317C48045D344A9ECED638064B54A38C38DA6B02461ACC
92,2850,4371,12,6881,423,true,bafkreigcjuww2kejsx67oafetya7vivhysy4wvjt43bfwastie5rlhslja,B662427AD20F1119FEBCA6207755CB7103CF00F7C0CB5A257F66702676DCF0B8
93,3263,8173,12,5621,423,true,bafkreiddrd6emfya2slwlt5rofdjlvjakmxlueatsmwgd3zdj5npxud2xe,73972C3652615B25E733D09757220040C2307809CFE2C7974614DF165C5A7FE6
94,3702,6904,12,8211,423,true,bafkreieukkx5cvqsf2uhakl6wk3ph7dnsaljzjk4xao4gcvlnvln6e46ni,1D3EA0BD195C454B51A924645A0BC55D5275CD7CE385B13D08818A178BB555BA
95,3136,6932,12,6902,423,true,bafkreifyw345ymtbj342frvjoxxixsfqgoxhambvahgme66lsubni22ut4,D140BF84DF7189D61F2DD56E44970FCB2970FA268F4473C6292FEE597496F619
96,3348,8259,12,6957,423,true,bafkreiedzifjkgltcmb2grlppgs6h5vedpdt6lvjxycwutpd76w7jzce6y,2711AD684E39D8F03FF4B9F40CACC2ECC6B0A2254272835A65A15EA9714531B2
97,3412,5649,12,3147,423,true,bafkreih7ff6wrxonymkuu4f2tc7i6htdmfcurky5vqmmc3pb3hy4m5wtym,9FF9BEB0A60B0FF79B4CC961E095225110265D1F228B5A0621903EB7BEA565D9
98,3065,6905,12,5615,423,true,bafkreiarq37v5te7dn7jqn2p4uh2sb2gbtd5jqdp7c4upy75eql2wwnyva,C4CD87A7B9B60786DE53F3B6DA5A8B1D31CF87B3CCA57023B4BB9908D973D7C4
99,3574,5628,12,4364,423,true,bafkreihvhefbxtganwbcbqxqr4cv2cd43nbpfyhyoikrzgn4qpebffckhu,F3F9DFB93C95D27D96EB6B09A8997419F6A222DEE159002BA9FC444C1B4DECD1
100,3094,7091,12,6923,423,true,bafkreicvtkzx5xyxkqxoeiw4fbxlmh2wqdsgqadrefo3rhhtxosbdycx5q,43E1A0A231178D193DE778A6F712FD5FBF31871E9031CA607AB6F8B91116AC76
AVERAGE,,6188.320,12.000,6204.030,423.000,100/100,,
STDDEV,,973.381,,1050.228,,,
P95,,7114.800,,7283.850,,,
