iteration,mode,create_ms,create_fee_drops,cancel_ms,cancel_fee_drops,create_hash,cancel_hash
74,cancel,5635,12,5666,12,F2A56E2F6866C0650EA2BF37FEC7556A861E6FCBBD4FE3F24E79F830CB361285,F88F8E6DBD722A18DF0844AC71E32AA709AD60B04889DF9C8DF594167C495FF1
75,cancel,5627,12,5642,12,D79241B7CC22E07EA3CDCA0EDF174D6DFAEE925FC54BAEC92142BBCBB825FF24,1B45A6986DF81256461DD1ECB98B0D322007C2073EFD48957CD3A64CFAA38A3E
76,cancel,5689,12,5656,12,644AABD9CC0E7762C730CEB1285CDBD2BC98F8FA8164A682792CE4AA0533A8C5,C2E06D715F6ED1D2776A24825EDBBC25E774922D409651FC166B01AA3207602B
77,cancel,6937,12,5657,12,B50A5FA392758D081B704550BCD53DC781607306243D75D84E94CDAB2EF255DC,90DD41630D19F9F7403AD180B97A001C9323F06B476D228CB0935D111A0095D4
78,cancel,6969,12,5650,12,ADA53E12E87D78D5251D94CF75EDC3850C555F1CDE59606727793183AAAE7B94,BED90B9CCCDEDD5EBB4F09659F1884EBD945A969BB4622F499E86C5A4ED0597A
79,cancel,5629,12,5630,12,E0609E4250B44CD63CE51A6E33196D5E6D1E769767B669BC173DFD2083E9B6C3,99B8968FDD1EB93FB8E637DC3B2B061526B2EC5709ECD0C0386EBB6E361CEC9F
80,cancel,5659,12,5658,12,1CE8D968E5F0FF98600AEC4B52E531BD8D79A96D2E60022A1321BC4B98A61DC2,E4674CB98CE5D8B862FE6604C84FA3FCC02C026420444292934D05566176AC60
81,cancel,5690,12,5643,12,8EB2748FB1AC33296A39F0522342BFCB29C6988110CC296A15E4BAB6CFBC7C27,470FE581E1D9EB56A065C51372774BE799795D4C91D95CC09B3D421D4790BF8B
82,cancel,5641,12,3177,12,C10BDC007218D025F78CFF82F311B81F79EBA34C7EA0BD2BF3F5A5C756BE80AB,36F2607832A401E09A5FDAEC22272FD0F77574E7D632D716B417BED07EDC6E70
83,cancel,3066,12,6962,12,C345E9B60AD9F638EECA8B9117693EBF532B8FEDE6900341820C02085C564962,19B996D846F2A42A81D9D270B7546E4F2286BE9518C7BFA513ADF86E7314C076
84,cancel,5650,12,3054,12,0BBA7FB922C94FAE774195FD549CE364C195D30239D62FD20C76ABF395C0E206,474BE068F3C15AEAE29A8FEB0E53A737806BB75B3D572FE1A0DB1D78E7849AA7
85,cancel,6972,12,4313,12,D2F68791BD7424F18020E72C8A2734C8D8360B62F5FBFEFE398D53186EF81CDB,667E9D31AE217D9E21A304124BFCF300AB61C36384ED4E0B9490F9E0DD753928
86,cancel,5673,12,5655,12,877B557A37992963B7521D40496182F2508343EA6D15CAE86B6BA36FF5A19EF5,7C2188448FDD44832F0833B0850EB60AD689F2F36DEF90F91F46DD1A1AEE768B
87,cancel,5654,12,4362,12,3457BEB4D0ED05573985E45303FDD6F5D33516572FF7CA35B2A3BF62F73A9EE2,E3C81DE306C4107D5AFDBE39E1EB2335672695BE6AEA212803B54F1E8DAD4EAF
88,cancel,4569,12,4376,12,FC0C76AC2DCD0188250778929DC7E93356C05C00993B7971F749C7C73533490B,006D0C3CBF3DFDB3116AFB3DC031613BAE827786D4EBB169936ED34508BEDA76
89,cancel,5644,12,5640,12,8B918F696AA37027A0D2F2150C3D7B8D060E9A3627D87ABA08491DCA8C60DF60,EF9584E2496F96C5929E3A8C69ACCC9E7D84A89784FD962CA0DA4644F006072F
90,cancel,5672,12,6978,12,834094B9CD5A2D2F7ABE3835351FA5E70473D258161C199233FFD9353045B865,3EC31480C27436BF23BDDEC5EC709929B62B47353360306F7E809EFB6C949A13
91,cancel,5681,12,5658,12,5624D4528B2483974139F4DE468AF055265253A5E66B99353B757683A865C3CA,D6D1C8F350442C793051AAA9CD423969652DE256A0FB9EEA695ECF6139D8FBDC
92,cancel,4987,12,5613,12,4E3CD43BE99AAF07CB7065FBF3CBEA91CE6BDB092C3B85810AE8D41B8AD0DFB1,773306302A96FB269BF61D5AF00EB6FAD8FB0E59473DEE2FCAA4E4BC023C3C28
93,cancel,6937,12,3062,12,F92116E9B3AEC0BA03BAE8524E52864121AEDDD5D33A019A2B426252F8D9E712,B0568EE1DEDB600FE2870F02AEE65137E3075194CBEE2901E63A6851B8029FD0
94,cancel,6928,12,5621,12,E22298A847E81335AC7DFACC2A259C5B15068396ABE95ADBE9F60A0F9DAEBB69,832B18D081BFE6022448CAC69A39A3F2C1242ADA6BFA747F3AE3C51052CA8010
95,cancel,3057,12,5362,12,B25D6FA65B12F8427EE520922BA713A09AF7A8DDA7D5C5113C4C9766C91FF349,A294FD6107BEB45FECF439337C5261FFF4DCADAA76CB51BDA89C820143C4C88B
96,cancel,4320,12,4317,12,2C442A225C7EDDB370A9DB71DF4BD9D316E54ACED55DC83617BDF1E6E9B3BAB4,6378F7887CBA31D47C499DCED22E1F61C7CE9CD4AF3AB8220475C2C1B24E169C
97,cancel,3073,12,5640,12,47F3D80DE24F0AA101AC1D2A64CAB810FFCC94EFA933C8370FDFE9AF493DCF97,514E12304AE75B1A68EC02D3CA94B7DED9674102B11B47D53ED334C1383920B1
98,cancel,5619,12,5683,12,690CC0DE4B84A2244FEB924CD083697DCBA895BE3D6222149FFF725C7773E8BE,FCD3BFD45E5DBAFF1AC51EB5D658BDB6B23FACF459FC37034C43B904FA876170
99,cancel,5657,12,5649,12,23D45ECE397450D242205E81597E8EF00AB7A02D6EA13E1E716CB2EF7D9C7FC3,54D9DCD36FE0E76FD4EF49356D47CB60D5BA71CE3578584FE49CD10BBABE0177
100,cancel,3037,12,5635,12,833E113ADF36065E0B8D326628E7B7A574AEC97E6638C280236FB8BF850697C9,AC06467B6507480F08CB9B97B3254590F18DA1A5899F14C373E91B8C1D184CF8
AVERAGE,cancel,5810.880,12.000,5476.750,12.000,,
STDDEV,cancel,1118.753,,999.687,,,
MIN,cancel,3037,12,3050,12,,
MAX,cancel,8216,12,8199,12,,
P95,cancel,7030.100,,6962.800,,,
