iteration,mode,create_ms,create_fee_drops,finish_ms,finish_fee_drops,create_hash,finish_hash
68,condition,7035,12,5574,423,FD9640BB051CAFE7DC8078F6A281CC637FF9A380052174D828C141AA4E584A41,7B6C1724D0E720A40D3A9BB97ACDCB19AE72ED3E7582F7B009C5F1039F910C07
69,condition,5581,12,6852,423,76B40225D0B6FCF663AEB7B42FFFF2B71037536391DCDFF7F0C5E7B628FF6C39,B7208BA9C8F9909694291004C792D7271935A261180D4BE195AECD7E49AE3E91
70,condition,5600,12,7042,423,10B020BBDBFCBE89097B68F598086259E6FCE70F3CB6CBD94BBF2EF14558662D,BF2488A6E80CD8D05AD49A5A117EF6CE20FDFF51D1F1BA5A09906C3FD4B3745B
71,condition,7060,12,5582,423,34A9E284151F51AE32AD7169B8C90FA81A8E5217EF9AC6FF92900853E5627137,377F6FD9FB233FC2C84E741B222E50F4E08744C720F14FE77E0FB816028C9399
72,condition,8315,12,5628,423,0523220B5582BAC79F0DC2070739DA8E27B2607C6CB1E551FF17D23BA846C890,8D1E7A55C995301F7FBF4EFCDCCC26B7AE6048531C7F6CA22527C80F711F8E37
73,condition,6898,12,5573,423,CEA2CB529D39B51C1B7EEFEA6B5316835BED781E3AA832B27EE39878A07B1798,B603075DBDC41786EFF75C387337ADAEB7D1B8E92C50FBC478D7E79045AD857C
74,condition,5604,12,6855,423,735470718C8075EB685FDD17BE9C155719775772D9AAF0929CC53B596000D2C6,E8E5802BAFA2586850B7A5AEB976DCF57B79989AB2455CEE7C0FE4108EC893D2
75,condition,6898,12,5583,423,4CBC92C82BC786CC5747683E4BE665F9C384F917D66B8CCA783E34B716835330,4F997E44DF7136BAB2102F3B74F199C5B0AF31A5561629DD778300D7D2A82CF4
76,condition,5574,12,6874,423,8C74B1DC947B245F2D8A9D9365F1A708EBFC96BD8AE2ABE96B9E2E13AE281665,01C4A7F8B9461CD668AF7D6CCE8BBE0BC29E26BD7A540C394D8340F8635085E8
77,condition,6853,12,5571,423,5AF255BC13DC0BCD31C9808F64B4CFABCD8572BA2EC7F9106CC7F19F807FB144,AE3B5CD93CC0DAF70DC9F06D082F9D3052AA6053AFF253570114DEB3FF502A5C
78,condition,5559,12,6855,423,B0194B1B0F9AE065170B313754541EFFB27B2E70D8D1D3242A7B3BF020C57830,101E2EA2CD7412A6140F2FFD02EB1D19AFD6DEE7E72C705E51CEC5711D5FD2AC
79,condition,8170,12,6883,423,7041998DE598BF578E8A1B9248A721E5CD69F21BC3D0130F47A67E50B43F5992,E37430A2B62B963B5F15D9A8CDDD4D05F3081959F14C8516C1B6510BEED7C61F
80,condition,5607,12,6896,423,77FC44DF5B1958E96A28BD1EC25CB679B9093253E30F18B7CAD420F5063CC0D6,F172C4E974824EC11D6AB40B4EECCC5A9827216FAB147787F9AF32F3EC2453A9
81,condition,5589,12,6867,423,8A72E0FFBF6350B49F3A63ACAA0598FF88A11FDACE32712525BE9A0FBC510B82,215D30EE309CB3E8210029FE3CB79CFDE9B92BB3E227318DDE48F76E4551AA00
82,condition,5603,12,6862,423,FC33B49C6355B53AA4D8FADB0AEF19212290155E5C73FEC8A552144391FA2121,58C25DB4B79F9C09FDDBB629573CABF37145FD4A2CDE7D2D6E87A38DA50FE8A7
83,condition,5576,12,6878,423,53B1091F659AE08758B1F665CF3ACF9C536A2C72C95BBA318381D30F12223724,89598F2105E3BAF5484D7013D93BD5694A0F198EF17829680DBE5E3C812AC5E2
84,condition,6874,12,5592,423,8BED7C828D1163DCFF55617ED1DED2DB7A449C82410FC1F82D700DE75D4B2B08,B0BCA7E2702696FD2378CAD2006FB5651C8753BBC614E8C6485103743C00F9D9
85,condition,3032,12,3014,423,40EE074064FB0A5D45DA8B07CDF34ABA01808F1B28F045EC0691CC3E955D1CFF,3840879FEF5F44895E23FA1A6D18FF1591C004866DC8D3CBF4BC399A12FC6287
86,condition,7543,12,5601,423,C40CE885407CAAEFE38BBCED82ACCCA5C24274052B90D1B0BF5276F6FC84D2F3,70C8649AE897262F25AC5C565B6134DA5AA63DB22E62489749A15FA4100B809A
87,condition,5595,12,6956,423,0B3E09EFC6E9024C0E2975957F1BC2BF65A900D036D414F6BFB7B802E6383760,611F4AF32DC8BA48CF19D7FE24E358CD377A234A3B25856CD2DEF42711B115A0
88,condition,6855,12,5595,423,F179C63F1BE01B8D11FE2E824273972A216429064808875A76F7E6837E0867AD,5A9CD86DD7C903D7AA5866CEB6D371D790C077EB1C327C075EED6D2452AE5943
89,condition,6901,12,8154,423,439FCB37CE74116D3C39E79991C97DE5C6CBF52CE145E08EF367D272F9EC3A4B,734B22AF2418F7E2E09387EF7EBC1F6B51C64EACC3B761A6B74E3CC342C942B4
90,condition,6880,12,5570,423,32A0E80701F090EE00B3BEDF666C063C2A18C0B6BB0F44DB19824920F7751EC9,2F89E8F3E13F00D2DA08E98A5FF6EE4735B94BAC0CBD0329A3E72C9A8EAB8304
91,condition,6864,12,5581,423,82B81E223FCCEF9D2058FC86AE92A6CAD74F5A395FCC38085BF09A9D06DB0A13,24E863672C98B2A44646521A4E7FEE663283AECA5DE6BB9645A78689667D1CD4
92,condition,6883,12,6877,423,8C91806645CB31B5B46B0C5DECA7618608078179874796A63C403C9B092B684F,C248EC065B52E7951A8908F46374B4D3E213435B39E0E579B3676C375A031B04
93,condition,8170,12,5831,423,CB53B51C7208013A15BCD9D388FE40C0ED12BFA6B6DB5DBF750453D9995897FA,FAC50D6D8D3BD73A7C54F998A3FFFAD795FF34A787C9235002FF1F0C0D582FB5
94,condition,5581,12,4340,423,7F1ABEE2B146D635E0A3E8D26BB469F8626792829DDD5A16FDBF34971A8B25ED,B30E5A8B49F6C6FDE62A9AE370C6DBD4EA32E12C95A04C967B3AA0A96A775321
95,condition,5597,12,6886,423,77D6EDC4F02C3E7D40C14A66929A86014640F323BF6E40BE29530AFDB4CF6395,98107B9D067D4965A329D23727BCBEF6E2396F39701FB079E871AA53C9643734
96,condition,5601,12,5585,423,53ABFE5A75DB1C8DC103C4567661E03B4143B0B0C3C420D3D721B805749EF074,62DC421548F7D243A344AEF592EFEB6968B6C38F45B3109A17A19973329A4613
97,condition,6861,12,5605,423,F37E19549BE4E040EE1EAA609A604204F35C2C57D0CDDAB2239F89111E8E69FE,23969ABAD4072662DB541AD5A71BFCA084CFAF173B553E5AFB27EAAA8A00AF56
98,condition,6876,12,6875,423,3CECF43C3B5148F277410596B1A86CC05ADAF356726357278625218A73A219A6,E79C9CF789DE3D01A02FF26DFE9E3117D3AD299F5DB5488CD74CA0876648F100
99,condition,6893,12,5578,423,3B2306A0F3584B0935B9CF6CDD64471AAE1886780E5ECC04FCF9FDCB5614B90B,A9F3F84544222129BBB3D949BCAAA0825A0731F8B4ABBF922AD403D4D80E35A8
100,condition,6869,12,8176,423,F43589345D1FF992170DC6FD8620CB887170A47992C6DE9DB4084B5C3DDCD97E,9D102C44F057E2C0A307936D50020E58C9C54E94BB564C451791FEEED0707EC5
AVERAGE,condition,6345.660,12.000,6047.720,423.000,,
STDDEV,condition,1009.513,,978.970,,,
MIN,condition,3024,12,3014,423,,
MAX,condition,8315,12,8176,423,,
P95,condition,7572.150,,6977.400,,,
